chart,chartURL,rank,song,artist,lyrics
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,32,Walk On Water,Thirty Seconds To Mars,"[Intro]
(Do you believe?) Walk on water

[Verse 1]
Can you even see what you're fighting for?
Blood lust and a holy war
Listen up, hear the patriot shout:
""Times are changing""
In the end, the choice was clear
Take a shot in the face of fear
Fist up in the firing line
Times are changing

[Chorus]
Do you believe that you can walk on water?
Do you believe that you can win this fight tonight?
(Do you believe?)

[Verse 2]
Look at the sky, see a dying star
White lies, it's a man on fire
Making love with the devil hurts
Times are changing
A thin line, the whole truth
The far right, the left view
Breaking all those promises made
Times are changing

[Chorus]
Do you believe that you can walk on water?
Do you believe that you can win this fight tonight?
Do you believe that you can walk on water?
Do you believe that you can win this fight tonight?

[Bridge]
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water
Do you believe? Walk on water

[Chorus]
Do you believe that you can walk on water?
Do you believe that you can win this fight tonight?
Do you believe? Walk on water
Do you believe that you can walk on water?
Do you believe? Walk on water
Do you believe that you can win this fight tonight?

[Outro]
Do you believe? Walk on water
Do you believe? Walk on water"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,33,Hard Love,NEEDTOBREATHE,"[Verse 1]
Trading punches with the heart of darkness
Going to blows with your fear incarnate
Never gone until it's stripped away
A part of you has gotta die to change

[Verse 2]
In the morning you gon' need an answer
Ain't nobody gonna change the standard
It's not enough to just feel the flame
You've gotta burn your old self away

[Chorus]
Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, cuz it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, cuz it's a hard love

[Verse 3]
You know the situation can't be right
And all you ever do is fight
But there's a reason that the road is long
It take some time to make your courage strong

[Chorus]
Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, cuz it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, cuz it's a hard love

[Bridge]
When the wolves come and hunt me down
I will face them off and stand my ground
Cuz there's a fire burnin' in me
They will see my strength in this love I found
Oh

[Chorus]
Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, cuz it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, cuz it's a hard love

[Refrain]
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love
It's a hard love

[Chorus]
Hold on tight a little longer
What don't kill ya, makes ya stronger
Get back up, cuz it's a hard love
You can't change without a fallout
It's gon' hurt, but don't you slow down
Get back up, cuz it's a hard love
Cuz it's a hard love"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,34,Feels Like Summer,Weezer,"[Verse 1]
Climbing up the tower
Just a boy and his computer
I'm still in my bathrobe
Hiding in the shadows
I'm not used to losing
Bye, bye, sugar blue eyes
You're home with the angels
Thank you for being so kind

[Chorus]
I'm holding on and I don't want to let you go
Yeah it feels like summer
Yeah it feels like summer to me
Yeah it feels like summer
Yeah it feels like summer to me
And she was a lover to me, to me, to me, to me

[Verse 2]
Which way is the graveyard?
I'm an iceberg with a warm heart
I'm spiritual, not religious
I'm a Libra, if it matters
Shattered by an email
Your words will fade away
Castle built in the sand
Will only last one day

[Chorus]
I'm holding on and I don't want to let you go
Yeah it feels like summer
Yeah it feels like summer to me
Yeah it feels like summer
Yeah it feels like summer to me
When she was a lover to me

[Bridge]
June bride, shine so bright
Flowers in her hair, but it just ain't right
June bride, shine so bright
Flowers in her hair, we look good together
We look good together

[Chorus]
Yeah it feels like summer
Yeah it feels like summer to me
When she was a lover to me

[Outro]
Let me see the smile, stay with me awhile
I cried for you, you were the song in my life
Let me see the smile, stay with me awhile
I cry for you, you were the song in my life"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,35,On Hold,The xx,"[Verse 1: Romy Madley Croft]
I don't blame you
We got carried away
I can't hold on
To an empty space

[Pre-Chorus: Oliver Sim]
Now you've found a new star to orbit
It could be love
I think you're too soon to call us old
When and where did we go cold?
I thought I had you on hold

[Chorus 1: Oliver Sim]
And every time I let you leave
I always saw you coming back to me
When and where did we go cold?
I thought I had you on hold

[Post-Chorus 1: Oliver Sim & Hall & Oates]
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
You've got the body, you've got the body
I thought I had you on hold
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to

[Verse 2: Romy Madley Croft]
My young heart chose to believe
We were destined
Young hearts
All need love
Call it a lesson
The stars and the charts
And the cards make sense
Only when we want them to
When I lie awake staring in to space
I see a different view

[Pre-Chorus: Oliver Sim]
Now you've found a new star to orbit
It could be love
I think you're too soon to call us old
When and where did we go cold?
I thought I had you on hold

[Chorus 2: Oliver Sim]
And every time I let you leave
I always saw you coming back to me
When and where did we go cold?
I thought I had you on hold
I thought I had you on hold
I thought I had you on hold

[Post-Chorus 2: Hall & Oates]
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
You've got the body, you've got the body
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to
Where does it stop, where does it stop
Where do you dare me to (draw the line)?
You've got the body, you've got the body
Dare me to, dare me to

[Chorus 2: Oliver Sim]
And every time I let you leave
I always saw you coming back to me
When and where did we go cold?
I thought I had you on hold
I thought I had you on hold
I thought I had you on hold"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,36,Hymn For The Weekend,Coldplay,"[Intro: Beyoncé]
And said drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
That we shoot across the sky
Pour on a...
Drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
(So high, so high)
That we shoot across the sky

[Verse 1: Chris Martin]
Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh now I think I must be miles up
When I was a river dried up
You came to rain a flood

[Pre-Chorus: Chris Martin with Beyoncé]
You said drink from me, drink from me
When I was so thirsty
Poured on a symphony
Now I just can't get enough
Put your wings on me, wings on me
When I was so heavy
Poured on symphony
When I'm low, low, low, low

[Chorus: Chris Martin]
I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
Now I’m feeling drunk and high
So high, so high
(Woo)
(Woo-ooo-ooo-woo)

[Verse 2: Chris Martin with Beyoncé]
Oh, angel sent from up above
I feel you coursing through my blood
Life is a drink and your love's about
To make the stars come out

[Pre-Chorus: Chris Martin with Beyoncé]
Put your wings on me, wings on me
When I was so heavy
Poured on symphony
When I'm low, low, low, low

[Chorus: Chris Martin]
I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
I’m feeling drunk and high
So high, so high

[Bridge: Beyoncé with Chris Martin]
I-Oh-I-Oh-I
La, la, la, la, la, la, la
So high, so high
I-Oh-I-Oh-I
Now I'm feeling drunk and high
So high, so high

[Outro: Beyoncé  with Chris Martin]
That I shoot across the sky
That I shoot across the...
That I shoot across the sky
Let me shoot across the... (Let me shoot)
Let me shoot across the sky
Let me shoot across the...
Let me shoot across the sky
That we shoot across the..."
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,37,Waste A Moment,Kings Of Leon,"[Verse 1]
All the way from Waco to WeHo
With a rabbit on her chain
Drove a little slick car to tend bar
With the static on her brain
She's a little burner, burner, gonna throw you to the flame
Little ticking time bomb, time bomb, gonna blow us all away

[Chorus]
Oh, take the time to waste a moment
Oh, never ask to be forgiven

[Verse 2]
Tex, he was her boyfriend with no kin
Always running from the law
Every other weekend, the week ends
With his back in her claw
He's a livewire, wired, shooting sparks in the night
He’s a gun for a hire, hired with a bead in his sights

[Chorus]
Oh, take the time to waste a moment
Oh, facing where the lines are broken
Oh, name your price to all this living
Oh, never ask to be forgiven

[Instrumental break]

[Chorus]
Oh, take the time to waste a moment
Oh, face it where the lines are broken
Oh, name a price to all that's living
Oh, never ask to be forgiven"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,38,Cleopatra,The Lumineers,"[Verse 1]
I was Cleopatra, I was young and an actress
When you knelt by my mattress, and asked for my hand
But I was sad you asked it, as I laid in a black dress
With my father in a casket, I had no plans

And I left the footprints, the mud stained on the carpet
And it hardened like my heart did when you left town
But I must admit it, that I would marry you in an instant
Damn your wife, I'd be your mistress just to have you around

[Chorus]
But I was late for this, late for that, late for the love of my life
And when I die alone, when I die alone, when I die I'll be on time

[Verse 2]
While the church discouraged, any lust that burned within me
Yes my flesh, it was my currency, but I held true
So I drive a taxi, and the traffic distracts me
From the strangers in my backseat, they remind me of you

[Chorus]
But I was late for this, late for that, late for the love of my life
And when I die alone, when I die alone, when I die I'll be on time

[Bridge]
And the only gifts from my Lord were a birth and a divorce
But I've read this script and the costume fits, so I'll play my part

[Verse 3]
I was Cleopatra, I was taller than the rafters
But that's all in the past now, gone with the wind
Now a nurse in white shoes leads me back to my guestroom
It's a bed and a bathroom
And a place for the end

[Outro]
I won't be late for this, late for that, late for the love of my life
And when I die alone, when I die alone, when I die I'll be on time"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,39,My Name Is Human,Highly Suspect,"[Intro (spoken)]
Okay

[Verse 1]
I'm feeling the way that I'm feeling myself
Fuck everyone else
Gotta remember that nobody is better than anyone else, here
(Do you need some time to think it over?)
Look what they do to you
Look what they do to me
Must be joking if you think that either one is free, here

[Chorus 1]
Get up off your knees, girl
Stand face to face with your God
And find out what you are
(Hello, my name is human)
Hello, my name is human
And I came down from the stars
(Hello, my name is human)

[Verse 2]
I'm ready for love, and I'm ready for war
But I'm ready for more
I know that nobody's ever been this fucking ready before, hey
(Do you need some time to think it over?)
So figure it out, or don't figure it out
I figured it out
The bigger the river (the bigger the river)
The bigger the drought (the bigger the drought)

[Chorus 1]
Get up off your knees, boy
Stand face to face with your God
And find out what you are
(Hello, my name is human)
Hello, my name is human
And I came down from the stars
(Hello, my name is human)

[Bridge]
Fire world, I love you
Fireworld

[Chorus 2]
I'm up off my knees, girl
I'm face to face with myself
And I know who I am
(Hello, my name is human)
I stole my power from the sun
I'm more than just a man
(No longer disillusioned)

[Outro]
(I'm not asking questions)
('Cause questions have answers)
(And I don't want answers)
I came down from the stars (so I'll take my chances)
(And what are the chances)
(That I could advance)
(On my own circumstances)
(Said ""what are the chances?"")
Hello, my name is human (And what are the chances?)
(I don't want your answers)
(I'm not asking questions)
(So you keep your answers)
And I know who I am (So you keep your answers)
(I'm not asking questions)
(I'm taking my chances)"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,40,Don't Take The Money,Bleachers,"[Verse 1: Jack Antonoff]
Somebody broke me once
Love was a currency
A shimmering balance act
I think that I laughed at that
And I saw your face and hands
Coloured in sun and then
I think I understand
Will I understand?

[Pre-Chorus: Jack Antonoff]
Will we fight, stay up late?
In my dreams, I'm to blame
Different sides of the bed
Roll your eyes, shave my head
Now we're stuck in the storm
We were born to ignore
And all I got is a chance to just sit
(Baby love me you've got me, runaway)

[Chorus: Jack Antonoff]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money

[Verse 2: Jack Antonoff]
I slept on my own those nights
Was still in my parents' house
And I cut off my t-shirt sleeves
And claim a new continent
'Til I saw your face and hands
Covered in sun and then
I think I understand
Will I understand?

[Pre-Chorus: Jack Antonoff]
Will we fight, stay up late?
In my dreams, I'm to blame
Different sides of the bed
Roll your eyes, shave my head
Now we're stuck in the storm
We were born to ignore
And all I got is a chance to just sit
(Baby love me you've got me, runaway)

[Chorus: Jack Antonoff]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money
(I'm in love and you've got me, runaway)
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money
(Baby love me you've got me, runaway)

[Bridge: Jack Antonoff]
When you're looking at your shadow
Standing on the edge of yourself
Praying on the darkness
Just don't take the money
Dreaming of an easy
Waking up without weight now
And you're looking at the heartless
Just don't take the money

[Chorus: Jack Antonoff & Lorde]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Well, don't take the money
(Baby love me you've got me, runaway)
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money

[Outro: Jack Antonoff]
Just don't take the money
Just don't take the money
Just don't take the money
Just don't take the money"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,41,Testify,NEEDTOBREATHE,"[Chorus]
Give me your heart, give me your song
Sing it with all your might
Come to the fountain and you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify

[Verse 1]
Into the wild, canyons of youth
Oh, there's a world to fall into
Weighless we'll dance, like kids on the moon
Oh, I will give myself to you
As soon as you start, to let go

[Chorus]
Give me your heart, give me your song
Sing it with all your might
Come to the fountain and you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify

[Verse 2]
Wave after wave, as deep calls to deep
Oh, I'll reveal my mystery
As soon as you start, to let go

[Chorus]
Give me your heart, give me your song
Sing it with all your might
Come to the fountain and you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify

[Bridge]
Mist on the mountain rising from the ground
There's no denying beauty makes a sound
He can't escape it, there's no way to doubt
Mist on the mountain rising all around

[Chorus]
Give me your heart, give me your song
Sing it with all your might
Come to the fountain and you can be satisfied
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify
There is a peace, there is a love
You can get lost inside
Come to the fountain and let me hear you testify

[Outro]
You can get lost inside
(You can get lost inside)
You can get lost inside
Let me hear you testify
You can get lost, you can get lost inside
Let me hear you testify
You can get lost, you can get lost inside
Let me hear you testify"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,42,Good News,Ocean Park Standoff,"[Verse 1]
No, this is not a test
Never was, never will be
You can take my best
It's yours, it was never for me
I'm just looking for something to get me out of my seat
Something that's true
What did I do?

[Pre-Chorus]
'Cause every time I turn around
I'm back down to one
Tell me why it feels like I'm still on the run

[Chorus]
I need some good news, baby
Feels like the world's gone crazy
Give me some good news, baby
Give it to me, give it to me
I need some good news, baby
'Cause all the world's gone crazy
I need some good news, baby
Give it to me, give it to me

[Verse 2]
I've been holding back
When I, I should be falling free, yeah
But it's not having faith
Just believe in what you can't see
And I'm still looking for something to get me out of my seat
Something that's true
What can I do?

[Pre-Chorus]
'Cause every time I turn around
I'm back down to one
Tell me why it feels like I'm still on the run

[Chorus]
I need some good news, baby
Feels like the world's gone crazy
Give me some good news, baby
Give it to me, give it to me
I need some good news, baby
'Cause all the world's gone crazy
I need some good news, baby
Give it to me, give it to me

[Bridge]
Give it all or give me up
I won't settle for enough
It's the highs and it's the lows we remember, ooh ooh
Give it all or give me up
I won't settle for enough
It's the highs and it's the lows we remember, remember

[Chorus]
I need some good news, baby
Feels like the world's gone crazy
Give me some good news, baby
Give it to me, give it to me
I need some good news, baby
'Cause all the world's gone crazy
I need some good news, baby
Give it to me, give it to me
Give me some good news, baby, oh
I need some good news, baby
Give it to me, give it to me

[Outro]
Give it all or give me up
I won't settle for enough
It's the highs and it's the lows we remember, ooh ooh"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,43,High,Sir Sly,"[Verse 1]
I’ve been smoking on the peace pipe
I’ve been wondering just what would peace be like
I’ve been staring into headlights
Swallow me whole, finding my peace of mind
I’m just trying to seize the moment
Trying to love the little things, even if they’re hard to love
A monument to love unspoken
Carved into stone, “Unwilling to come undone”

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Verse 2]
I remember back in Oakland
I was lying there in rapture on the bathroom floor
Moving hotel to hotel
Out on the road, no idea really what’s in store
Light it up just like a flashlight
Let it shine, let it rise just like a foreign sun
Turn it over and it’s capsized
It’s finally done, the battle's lost, yet I feel I’ve won

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Post-Chorus]
It feels good for the first time in a long time now
It feels good to be me

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Post-Chorus]
It feels good for the first time in a long time to be me
It feels good for the first time in a while I’m free

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,44,Saturnz Barz,Gorillaz Featuring Popcaan,"[Intro: Popcaan]
Haha, woii yoii
Done know how the ting go, a the Unruly boss
Don'?
Hahaha
Press the button to begin
Cho

[Chorus: Popcaan]
All my life
Mi ever have mi gun so mi haffi move sharp like mi knife
All my life
Mi pray say when mi get wealthy a ma a mi wife
All my life
The system force mi
To be a killer just like Rodney Price
All my life
No, all my life

[Verse: Popcaan]
What happen to you, Cobe? Some boy don't know mi
To how me ruff dem can't believe a grandma grow mi
Know few Popcaan song so, and feel dem know mi
Four mile mi used to walk to school, them know man story? Ha!
Now mi gain up all those glory
The world is mine, the world a it mi taking slowly
Happy days mi call it now mi bun sad story
Anyway mi the inner the world mi dogs dem round mi, hahaha
Mi laugh and collect those trophy
Because mi deserve everything weh music gives mi, boy
Unruly nuh light like Frisbee
The dream, family live that with me
Oh (oh), oh (oh), oh (oh), oh (oh)
All my life
Mi dream fi own house, land, cars, and bikes

[Chorus: 2D & Popcaan]
All my life
I'm in the stakin' bar
I got debts, I'm a debaser
All my life
Saturn's about to make love
And I'm just a heartbreaker
All my life
And I won't get a take in
'Cause I'm out when I'm stakin'
And the rings I am breakin'
Are makin' you a personal debt

[Bridge: 2D & Popcaan]
With the holograms beside me
I'll dance alone tonight
In a mirrored world, are you beside me
All my life?
Distortion

[Chorus: 2D & Popcaan]
All my life
I'm in the stakin' bar
I got debts, I'm a debaser
All my life
Saturnz about to make love
And I'm just a heartbreaker
All my life
And I won't get a take in
'Cause I'm out when I'm stakin'
And the rings I am breakin'
Are makin' you a personal debt"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,45,Help,Papa Roach,"[Intro]
I think I need help
I'm drowning in myself

[Verse 1]
Did someone turn the lights out?
Or is it just another dark cloud in my head?
'Cause I'm cut deep
My heart won't beat
Deep down low, it's killing me
If I wanna scratch out yesterday
I've got so much I need to say
I've got so much I need to say

[Chorus]
I think I need help
'Cause I'm drowning in myself
It's sinking in
I can't pretend that I ain't been through hell
I think I need help
I'm drowning in myself

[Verse 2]
They're preying on my weakness
Believe it
I'm thinking to myself, no, not again
And I won't keep listening when temptation's creeping in
If I wanna make it another day
I've got so much I need to say
I've got so much I need to say

[Chorus]
I think I need help
'Cause I'm drowning in myself
It's sinking in
I can't pretend that I ain't been through hell
I think I need help
I'm drowning in myself

[Bridge]
I think I need help
'Cause I put myself through hell

[Chorus]
I think I need help
'Cause I'm drowning in myself
It's sinking in
I can't pretend that I ain't been through hell
I think I need help

[Outro]
I think I need help
I think I need help"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,46,Lay It On Me,Vance Joy,"[Verse 1]
I'm so gone
Anyone could see that I'm wasted
You cut through
And I just wanna know what's in your head

[Pre-Chorus]
Write it on a piece of paper, honey
Put it in my coat before I go
Hidden in a place you know I'll find it
Later when I'm sitting all alone

[Chorus]
Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defenses come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now

[Verse 2]
Snow comes down, everything is new and different
I found you hidden in plain sight, why'd I take so long?

[Pre-Chorus]
Write it on a piece of paper, honey
Put it in my coat before I go

[Chorus]
Let me in
Everything starts at your skin, so new
Your love's always finding me out
Who am I kidding?
If all my defences come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now

[Chorus]
Your love's always finding me out
Who am I kidding?
If all my defences come down, oh baby
Will you lay it all on me now?
Lay it all on me now
Lay it all on me now
Lay it all on me now
Lay it all on me now"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,47,Free Fallin',Tom Petty,"[Verse 1]
She's a good girl, loves her mama
Loves Jesus and America too
She's a good girl, crazy 'bout Elvis
Loves horses and her boyfriend too
It's a long day, livin' in Reseda
There's a freeway, runnin' through the yard
And I'm a bad boy, cause I don't even miss her
I'm a bad boy for breakin' her heart

[Chorus]
And I'm free, free fallin'
(Free fallin', I'm-a free fallin')
Yeah I'm free, free fallin'
(Free fallin', I'm-a free fallin')

[Verse 2]
All the vampires, walkin' through the valley
Move west down Ventura Boulevard
And all the bad boys are standing in the shadows
And the good girls are home with broken hearts

[Chorus]
And I'm free, I'm free fallin'
(Free fallin', I'm-a free fallin')
Yeah I'm free, free fallin'
(Free fallin', I'm-a free fallin')

[Verse 3]
I wanna glide down over Mulholland
I wanna write her name in the sky
I'm gonna free fall out into nothin'
Gonna leave this world for awhile

[Chorus]
And I'm free, free fallin'
(Free fallin', I'm-a free fallin')
Yeah I'm free, free fallin'
(Free fallin', I'm-a free fallin')
And I'm free, free fallin'
(Free fallin', I'm-a free fallin')
Oh!
Free fallin'
(Free fallin', I'm-a free fallin')
And I'm free, oh! free fallin'"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,48,Love Is Mystical,Cold War Kids,"[Verse 1]
And when my heart won't break
An empty space between my lungs
And when my knees won't shake
I'll drink to find inspiration
Cause I'm a red blooded man
When I can't see behind the sun (I can't see behind the sun)
A supernatural plan
Is coming to meet me now

[Pre-Chorus 1]
Living life with no need for the brakes
Something happens when I lean on my mistakes

[Chorus 1]
Love is mystical
Love will break the chains
You might feel invincible
And you might be afraid
Light in darkness will show you the way
Give you the power to believe again

[Verse 2]
Cause I'm a rational man
And I can see how far I've come (I can see how far I've come)
But I don't know where to stand
Or who's coming to meet me now

[Pre-Chorus 2]
Living life with no need for the brakes
Something happens when I lean on my mistakes
If the words are true
And the words reveal the same
I come alive when I don't even think

[Chorus 1]
Love is mystical
Love will break the chains
You might feel invincible
And you might be afraid
Light in darkness will show you the way
Give you the power to believe again

[Bridge]
Oh, can't you hear the future is calling
For heaven's sake
It's either hell or high water
Let's get outta this place
I feel your skeptical eyes
On my mental state
I lift my hands to the sky
And I lower the stakes, oh yeah
And I lower the stakes, oh yeah
And I lower the stakes

[Chorus 2]
Love is mystical
Do you feel the same?
Love is irresistible
It's calling out your name
Light in darkness will show you the way
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again

[Outro]
To believe again
To believe again"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,49,Suit And Jacket,Judah & The Lion,"[Verse 1]
I ain't trading my youth for no suit and jacket
I ain't giving my freedom for your money and status
So don't say I'm getting older
Cause I'll say it when I do

[Chorus]
Cause everybody I know, everybody I know
Is growing old, is growing old too quickly
And I don't wanna go
So how am I supposed to slow it down so I can figure out who I am?

[Verse 2]
And I ain't trading my dreams for no 401k
And I ain't giving this fire for a cold, cold heart
So don't say I'm getting colder
Cause I'll say it when I do

[Chorus]
Cause everybody I know, everybody I know
Is growing old, is growing old too quickly
And I don't wanna go
So how am I supposed to slow it down so I can figure out who I am?

[Bridge]
Some of us surviving
Some of us just roaming
Some of us just hoping the world will move more slowly
And some of us alive
We're all gonna die one day
Yeah some of us surviving
Some of us just roaming
Some of us just hoping the world will move more slowly
And some of us alive
We're all gonna die one day
Yeah, some of us surviving
Some of us just roaming
Some of us just hoping the world will move more slowly
Some of us alive
We're all gonna die one day

[Chorus]
Cause everybody I know, everybody I know
Is growing old, is growing old too quickly
And I don't wanna go
So how am I supposed to slow it down so I can figure out who I am?"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,50,Somebody Else,The 1975,"[Verse 1]
So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

[Chorus]
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else

I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else

[Post-Chorus]
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

[Verse 2]
C'mon baby (I know)
This ain't the last time that I'll see your face
C'mon baby (I know)
You said you'd find someone to take my place

[Pre-Chorus]
Oh, I just don't believe that you have got it in you
'Cause we are just gonna keep ""doin' it"" and every time
I start to believe in anything you're saying
I'm reminded that I should be gettin' over it

[Chorus]
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else

I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else

[Post-Chorus]
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

[Bridge]
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone

[Guitar Solo]

[Chorus]
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else

I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else"
Rock,https://www.billboard.com/charts/year-end//2017/hot-rock-songs,51,The Way You Used To Do,Queens Of The Stone Age,"[Verse 1]
When I first met her she was seventeen
Seventeen
Jump like an arsonist to a perfect match
Burned alive

[Pre-Chorus 1]
We run 'til no one could find us
Girl, we outrun everyone

[Chorus]
But it doesn't matter now
Just come and love me how
Like the way you used to do
Yeah

[Verse 2]
Is love mental disease or lucky fever dream?
Fine with either
Gave birth to monsters who will terrorize normalcy, yeah
They'll terrorize

[Pre-Chorus 2]
If the world exploded behind us
I never noticed if it done
Let nobody dare confine us
I'll bury anyone who does

[Chorus]
But it doesn't matter now
Just come and love me how
Like the way you used to do

[Bridge]
Now
The way you used to do

[Verse 3]
My heart, a ding-a-ling
A puppet on a string
C'est la vie
So lay your hands across my beating heart, love

[Pre-Chorus 2]
If the world exploded behind us
I never noticed if it done
Let nobody dare confine us
I'll bury anyone who does

[Chorus]
But it doesn't matter now
Just come and love me how
Like the way you used to do

[Outro]
Used to do
Like the way you used to do
Come and love me now
Like the way you used to do
Like the way you used to do"
